0 0 	-16758
1 0 	92292
1 1 	15596
1 2 	14481
1 3 	114151
1 4 	-21209
1 5 	-84903
1 6 	82486
1 7 	7104
1 8 	-35500
1 9 	-54830
1 10 	-43192
1 11 	23632
1 12 	-84948
1 13 	45498
1 14 	38451
1 15 	49118
1 16 	20539
1 17 	-172166
1 18 	-75561
1 19 	-94289
1 20 	12207
1 21 	-10009
1 22 	18747
1 23 	-66014
1 24 	9187
1 25 	-208267
1 26 	-33818
1 27 	15450
1 28 	-50574
1 29 	141064
1 30 	-32638
1 31 	-101092
1 32 	-40566
1 33 	11935
1 34 	87279
1 35 	51115
1 36 	-65499
1 37 	74354
0 1 	13727
0 2 	-138572
23 0 	-144786
0 3 	71184
23 1 	15750
23 2 	38545
23 3 	17873
23 4 	28731
0 4 	334
23 5 	-19300
23 6 	-8158
23 7 	-72143
0 5 	-28048
23 8 	-68321
23 9 	43897
23 10 	-39385
0 6 	17959
23 11 	48330
23 12 	27155
23 13 	-30160
23 14 	-143206
0 7 	172847
23 15 	-5295
23 16 	-4174
23 17 	51663
0 8 	18795
23 18 	4611
23 19 	-102888
23 20 	23462
0 9 	57530
23 21 	40174
23 22 	24668
23 23 	33204
0 10 	8099
23 24 	-45235
23 25 	-51835
23 26 	-99433
23 27 	-88345
0 11 	76585
23 28 	39285
23 29 	24811
23 30 	10496
0 12 	-5565
23 31 	83978
23 32 	47354
23 33 	-44779
0 13 	-55432
23 34 	18723
23 35 	-19228
23 36 	-63106
23 37 	142085
0 14 	10277
23 38 	-55728
23 39 	11670
23 40 	-69232
0 15 	23308
23 41 	-87849
23 42 	5516
23 43 	3425
0 16 	64067
23 44 	-2337
23 45 	99515
23 46 	-25653
23 47 	5731
0 17 	-62975
23 48 	-35754
23 49 	51595
23 50 	39889
0 18 	-20942
23 51 	-43202
23 52 	33058
23 53 	-82214
0 19 	136648
23 54 	-181
23 55 	-11220
23 56 	-15265
0 20 	2206
23 57 	-30861
23 58 	2764
23 59 	67439
23 60 	-69045
0 21 	104110
23 61 	50200
23 62 	-5455
23 63 	-40317
0 22 	61137
23 64 	-7562
23 65 	-110290
23 66 	-6231
0 23 	156674
23 67 	50338
23 68 	-74755
23 69 	87429
23 70 	42988
0 24 	-31066
23 71 	-22217
23 72 	-44287
23 73 	-117411
0 25 	-69774
23 74 	-210265
23 75 	-179718
23 76 	11697
0 26 	-31310
23 77 	36240
23 78 	-40023
23 79 	-40711
0 27 	-39817
23 80 	139211
23 81 	85327
23 82 	-101500
23 83 	-14325
0 28 	-41080
23 84 	58535
23 85 	-55727
23 86 	107156
0 29 	-57899
23 87 	40624
